category,summary
5,환자는 당뇨에 관련된 약물을 받아야 함.
5,환자에게 심혈관 관련된 정보를 전달해야 함.
5,환자는 현재 다량의 약을 복용하고 있어서 다른 병이 있을 때는 일부 약을 중달하는 것이 좋을 수 있다.
6,"환자가 약을 복용하지 않고 있다는 사실을 약사에게 전달하고, 자세한 상황을 설명하겠다는 내용을 전달함."
5,환자가 현재 가지고 있는 질환들은 실제로 낫는 질환들이 아닌 것 같다.
5,약을 꾸준히 복용해야 혈관 손상을 예방할 수 있다.
5,손상된 부위와 예측이 어려운 상황으로 중단하지 말고 계속 진행하는 것이 좋습니다.
5,"- 다른 약을 복용할 때 아스트림은 일주일 전에 중단해야 함
- 예를 들어 건강검진 시 중단 필요"
6,"약사가 한 가지 아이템만 남았고, 그 다음에 다른 것을 확인해야 한다."
5,환자가 당뇨가 심하게 발생하고 있다는 사실을 전달해야 합니다.
5,"환자가 당뇨 약을 3가지 복용 중이며, 성분으로는 둘, 넷, 다섯, 다섯 종이 들어있다."
6,의약품 한 알에 성분이 2개씩 묶여져 있음.
6,환자가 예전처럼 당뇨 약을 먹는다면 알루미늄을 섭취할 수 있어야 한다.
5,"환자가 당뇨약을 줄이는 것이 가장 현실적인 것으로 생각하고 있으며, 현재 복용 중인 약을 이에 맞게 조정하고 싶어한다."
5,환자가 1정을 복용하였는데 혈당이 낮아졌다. 혈당이 76.8로 떨어졌다. 약의 세기에 대한 언급이 있었다.
5,"6, 6.5 미만으로 혈당이 떨어지면 줄이는 것을 고려하라."
5,환자에게 조금만 더 노력하면 좋을 것이고 노력이 중요하다.
5,당뇨의 문제는 혈당이 과도하게 높거나 너무 낮아지는 것이 중요하다.
5,당뇨는 변동이 심한 병이며 항상 높은 수치가 아닌 때도 있다.
6,환자가 약을 떨어뜨려서 회사에 와도 정신이 없다고 함.
6,"환자가 현재 50 견의 결과를 받았고, 약을 복용 중이 아니라고 말했지만 다른 사람은 먹고 있는 경우도 있다고 전달함."
6,환자가 50세이고 방뇨 수치가 높아져서 팔도 옷도 못 입겠다고 하며 스트레이드 조사에서 맞았다고 말함.
6,환자에게 혈압 측정 결과가 높게 나와 재검이 필요하다고 안내함.
6,스테로이드 대신 다른 약물을 복용하여 알레르기 반응이 줄어들었습니다.
6,"당뇨 수치가 올라갈 때 스테로이드 성분이 떨어지면 다시 수치가 떨어지는지, 높아지는 것 자체가 문제인지에 대해 의미를 고민해야 한다."
5,"스트레스를 피해야 하고, 검사 결과가 높으면 다시 검사를 받아야 한다."
5,환자의 혈당 수치가 다시 6.8로 떨어졌다.
4,스테로이드 사용 시 부작용이 있을 수 있다.
6,"스테로이드를 안 써도 뼈에 맞는 주사는 올릴 수 있지만, 일시적으로 올리는 것을 용인해도 되는지에 대해 의심이 있음."
5,약물 효과가 좋아질 경우 약이 맞지 않을 수 있음을 염두에 두어야 함.
5,당화혈색소나 일시적 혈당이 올라갈 때 조직이 손상된다.
6,올리지를 말지 말아야 한다는 내용을 전달해야 한다.
5,환자가 최대한 치료 기간을 최소화하는 것이 좋다고 강조하고 있다.
6,약을 말로 복용하는 것이 좋다.
3,"- 환자의 혈관이나 장기에 치료가 침투됨
- 관절염 치료에 스테로이드 또는 소염진통제 선택 필요
- 소염진통제도 혈당을 올릴 수 있음"
5,환자가 치료기관을 단축하기 위해 스테로이드를 짧게 사용하고 싶어 한다.
5,"환자는 증상을 참을 수 있고, 장기간에 걸친 운동도 가능하다."
6,"환자가 스테로이드인 '스테드'를 복용 중이며, 이전에 몇 번 복용했음."
6,환자가 몇 년 전에 받은 치료에 대해 이야기함.
6,"의약품 효과에 대해 고민 중인 환자가 다시 왔으며, 고민 중인 내용에 대해 상담을 받고 싶어한다."
5,환자가 통증이 심한 경우 스테로드제를 받고 내분비내과 당뇨 관리 전문의에게 스테로이드 사용 사실을 알려야 함.治향적 치료 중요.
6,약물에 대한 부작용이 심할 경우 더 나은 옵션을 고려해야 합니다.
6,"맞는 방법을 선택하는 것이 중요하며, 다른 대안을 찾는 것이 좋다."
5,"물리치료를 잦은 주기로 받고 근력 운동을 해야 하며, 당뇨 관리는 근육량에 영향을 미친다. 근육량을 유지하는 것이 중요하다."
5,운동 시 난리가 났고 피 검사를 받았는데 이걸 말하고 있음.
6,환자가 조금이라고 말했습니다.
6,"환자가 CPK 수치를 확인하기 위해 피 검사를 했는데, CPK는 크레아틴 인산화효소를 뜻한다."
6,환자의 CPK 수치가 중요하다.
6,환자는 6살이다.
6,"환자의 행문분 융예증의 숫자가 2000에 이르렀고, 훈련을 받아 일보다 더 높은 숫자를 기록했다."
6,"환자가 근육이 다 녹았다고 생각하는데, 실제로는 전혀 운동을 하지 않아서 근육운동에 대해 잘 모르는 상황이다."
5,혈당 검사를 받으러 가기 전에 몸을 움직여 근육을 만들어야 한다. 세게 했을 때가 아니라 적당한 운동이 필요하다. 알이 모두 백인 상태로 가야 한다.
6,10 키로짜리 약이 15 키로로 바뀐 것 같다고 환자가 말했다.
6,환자는 무게 없이 운동을 할 것을 원한다.
6,약사가 말했다. 무게 없이 운동을 해야 한다.
5,환자가 선생님의 권고에 따라 자신의 몸 상태를 살펴보고 방문한 것이다.
6,- 약사에게 박트를 계속해서 감사한다.
6,"환자가 메일로 대화 내용을 정리해서 보내줄 것이고, 메일 주소를 알려주면 보내줄 것이다."
6,"메일로 더 자세한 내용을 전달할 예정이며, 죄송하다는 말씀을 전하고 있습니다."
6,환자가 선생님의 짧은 발걸음에 대해 언급함.
6,환자는 처음 방문이라 질문이 많지 않을 것이라고 말했습니다.
6,15분으로 엄청 바쁘게 예약이 잡혀서 촉박하다고 느낌.
